Iteration 1:
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001

Iteration 50:
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001
('Normal mitotic activity.', 'Increased mitotic activity with atypical figures.'), Score: 0.6000

Iteration 60:
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No atypical cells.', 'Presence of atypical cells with enlarged nuclei.'), Score: 0.7277
('No increased number of histiocytes.', 'Increased number of histiocytes/macrophages.'), Score: 0.7265
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No reactive stromal changes.', 'Desmoplastic reaction/reactive stromal changes.'), Score: 0.7114
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6970
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('No discernible nucleoli.', 'Prominent nucleoli.'), Score: 0.6726
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No fibrosis.', 'Increased fibrosis and stromal changes.'), Score: 0.6640
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing present.'), Score: 0.6081
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001
('Normal mitotic activity.', 'Increased mitotic activity with atypical figures.'), Score: 0.6000

Iteration 70:
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No atypical cells.', 'Presence of atypical cells with enlarged nuclei.'), Score: 0.7277
('No increased number of histiocytes.', 'Increased number of histiocytes/macrophages.'), Score: 0.7265
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No reactive stromal changes.', 'Desmoplastic reaction/reactive stromal changes.'), Score: 0.7114
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6970
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('No discernible nucleoli.', 'Prominent nucleoli.'), Score: 0.6726
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No fibrosis.', 'Increased fibrosis and stromal changes.'), Score: 0.6640
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No atypical cells.', 'Presence of atypical cells with hyperchromatic nuclei.'), Score: 0.6495
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('No fibrosis.', 'Prominent fibrosis surrounding tumor nests.'), Score: 0.6463
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No stromal desmoplasia.', 'Marked stromal desmoplasia.'), Score: 0.6242
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('No prominent nucleolus.', 'Large and irregular nucleoli.'), Score: 0.6087
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing present.'), Score: 0.6081
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001
('Normal mitotic activity.', 'Increased mitotic activity with atypical figures.'), Score: 0.6000

Iteration 80:
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No atypical cells.', 'Presence of atypical cells with enlarged nuclei.'), Score: 0.7277
('No increased number of histiocytes.', 'Increased number of histiocytes/macrophages.'), Score: 0.7265
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No reactive stromal changes.', 'Desmoplastic reaction/reactive stromal changes.'), Score: 0.7114
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('Uniform nuclear size and shape.', 'Pleomorphic nuclei with variable size and shape.'), Score: 0.7050
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6970
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('No discernible nucleoli.', 'Prominent nucleoli.'), Score: 0.6726
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No fibrosis.', 'Increased fibrosis and stromal changes.'), Score: 0.6640
('No evidence of fibrosis.', 'Desmoplastic reaction with extensive fibrosis.'), Score: 0.6540
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No atypical cells.', 'Presence of atypical cells with hyperchromatic nuclei.'), Score: 0.6495
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('No fibrosis.', 'Prominent fibrosis surrounding tumor nests.'), Score: 0.6463
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('Normal background staining.', 'Increased eosinophilic cytoplasm.'), Score: 0.6348
('No mitotic figures in interfollicular zone.', 'Mitotic figures present in interfollicular zone.'), Score: 0.6344
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No stromal desmoplasia.', 'Marked stromal desmoplasia.'), Score: 0.6242
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Lymphocytes with regular chromatin.', 'Lymphocytes with irregular chromatin.'), Score: 0.6213
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No prominent nucleoli.', 'Prominent nucleoli in tumor cells.'), Score: 0.6122
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('Normal follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6090
('No prominent nucleolus.', 'Large and irregular nucleoli.'), Score: 0.6087
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing present.'), Score: 0.6081
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
('No granulomas present.', 'Presence of non-caseating granulomas.'), Score: 0.6075
('No necrosis present.', 'Areas of tumor necrosis.'), Score: 0.6048
('No fibrosis.', 'Prominent fibrosis.'), Score: 0.6037
('No single cell necrosis.', 'Presence of single cell necrosis.'), Score: 0.6005
('Normal cell cycle control.', 'Disrupted cell cycle control.'), Score: 0.6001
('Normal mitotic activity.', 'Increased mitotic activity with atypical figures.'), Score: 0.6000

Iteration 90:
('No eosinophilic inclusions.', 'Intranuclear eosinophilic inclusions present.'), Score: 0.7738
('No loss of B cell follicles.', 'Loss of B cell follicles.'), Score: 0.7629
('No hemorrhage.', 'Evidence of hemorrhage.'), Score: 0.7577
('No atypical cells.', 'Presence of atypical cells with enlarged nuclei.'), Score: 0.7277
('No increased number of histiocytes.', 'Increased number of histiocytes/macrophages.'), Score: 0.7265
('No tingible body macrophages.', 'Increased tingible body macrophages.'), Score: 0.7237
('Uniform lymphocyte size and shape.', 'Pleomorphic lymphocyte size and shape.'), Score: 0.7174
('No reactive stromal changes.', 'Desmoplastic reaction/reactive stromal changes.'), Score: 0.7114
('No reactive stromal changes.', 'Desmoplastic reaction with stromal fibrosis.'), Score: 0.7078
('Uniform nuclear size and shape.', 'Pleomorphic nuclei with variable size and shape.'), Score: 0.7050
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm.'), Score: 0.6970
('No evidence of lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6955
('No perinuclear halo.', 'Prominent perinuclear halo.'), Score: 0.6895
('No increased number of macrophages.', 'Increased number of macrophages infiltrating the tissue.'), Score: 0.6878
('No loss of follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6854
('No evidence of invasion.', 'Evidence of invasion into surrounding tissues.'), Score: 0.6849
('No increased eosinophilic cytoplasm.', 'Increased eosinophilic cytoplasm in tumor cells.'), Score: 0.6843
('No atypical cells.', 'Presence of atypical cells with prominent nucleoli.'), Score: 0.6837
('Thin nuclear membrane.', 'Thickened and irregular nuclear membrane.'), Score: 0.6817
('No eosinophilic inclusions.', 'Presence of eosinophilic inclusions within cells.'), Score: 0.6763
('Uniform nuclear size and shape.', 'Nuclear pleomorphism with variation in size and shape.'), Score: 0.6751
('No discernible nucleoli.', 'Prominent nucleoli.'), Score: 0.6726
('Organized lymphoid architecture.', 'Disrupted lymphoid architecture.'), Score: 0.6706
('Absence of giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6702
('No capsular involvement.', 'Capsular extension of tumor cells.'), Score: 0.6655
('No fibrosis.', 'Increased fibrosis and stromal changes.'), Score: 0.6640
('No evidence of fibrosis.', 'Desmoplastic reaction with extensive fibrosis.'), Score: 0.6540
('No evidence of apoptosis.', 'Presence of apoptosis.'), Score: 0.6536
('No eosinophilic granular bodies.', 'Presence of eosinophilic granular bodies.'), Score: 0.6507
('No atypical cells.', 'Presence of atypical cells with hyperchromatic nuclei.'), Score: 0.6495
('No giant cells present.', 'Presence of multinucleated giant cells.'), Score: 0.6478
('No fibrosis.', 'Prominent fibrosis surrounding tumor nests.'), Score: 0.6463
('No angioinvasion.', 'Angioinvasion by tumor cells.'), Score: 0.6453
('No discernible nucleoli.', 'Multiple, prominent nucleoli.'), Score: 0.6427
('No angiolymphatic invasion.', 'Angiolymphatic invasion by tumor cells.'), Score: 0.6410
('Thin nuclear membrane.', 'Thickened, irregular nuclear membrane.'), Score: 0.6408
('No necrosis present.', 'Presence of tumor necrosis.'), Score: 0.6393
('Normal background staining.', 'Increased eosinophilic cytoplasm.'), Score: 0.6348
('No mitotic figures in interfollicular zone.', 'Mitotic figures present in interfollicular zone.'), Score: 0.6344
('Scant cytoplasm in lymphocytes.', 'Abundant cytoplasm in lymphocytes.'), Score: 0.6311
('No ductal structures.', 'Formation of abnormal ductal structures.'), Score: 0.6310
('No evidence of necrosis.', 'Presence of necrosis.'), Score: 0.6266
('No hemorrhage.', 'Evidence of hemorrhage within the tissue.'), Score: 0.6266
('No giant cells.', 'Presence of multinucleated giant cells.'), Score: 0.6256
('Small, uniform nuclei.', 'Large, pleomorphic nuclei with irregular shapes.'), Score: 0.6245
('No stromal desmoplasia.', 'Marked stromal desmoplasia.'), Score: 0.6242
('No lymphovascular invasion.', 'Lymphovascular invasion present.'), Score: 0.6231
('Cells with normal nuclear-to-cytoplasmic ratio.', 'Cells with high nuclear-to-cytoplasmic ratio.'), Score: 0.6222
('Absence of lymphovascular invasion.', 'Evidence of lymphovascular invasion.'), Score: 0.6221
('Lymphocytes with regular chromatin.', 'Lymphocytes with irregular chromatin.'), Score: 0.6213
('Intact basement membrane.', 'Disrupted or absent basement membrane.'), Score: 0.6211
('No granulomas.', 'Presence of granulomas.'), Score: 0.6202
('Normal medullary cords.', 'Hyperplastic medullary cords.'), Score: 0.6165
('Regularly arranged lymphocytes in follicles.', 'Disorganized cellular arrangement with loss of follicular structure.'), Score: 0.6159
('No atypical lymphocytes.', 'Presence of atypical lymphocytes.'), Score: 0.6151
('No prominent nucleoli.', 'Prominent nucleoli in tumor cells.'), Score: 0.6122
('No angioinvasion.', 'Evidence of angioinvasion.'), Score: 0.6113
('No prominent nucleoli.', 'Prominent nucleoli within the nuclei.'), Score: 0.6112
('Normal follicular architecture.', 'Disrupted follicular architecture.'), Score: 0.6090
('No prominent nucleolus.', 'Large and irregular nucleoli.'), Score: 0.6087
('No perivascular lymphocytic cuffing.', 'Perivascular lymphocytic cuffing present.'), Score: 0.6081
('Regular nuclear morphology.', 'Irregular nuclear morphology.'), Score: 0.6078
